[784, 784, 10];0.1;1000;0.95;0.008;91.36
[784, 30, 10];0.1;1000;0.95;0.008;89.41
[784, 30, 30, 10];0.1;1000;0.95;0.008;88.97
[784, 784, 30, 10];0.1;1000;0.95;0.008;69.95
[784, 784, 392, 10];0.01;1000;0.95;0.008;73.0
[784, 784, 392, 30, 10];0.01;1000;0.95;0.008;10.0
[784, 50, 50, 10];0.1;300;0.95;0.001;45.63
[784, 50, 50, 10];0.1;1000;0.95;0.001;67.93
[784, 50, 50, 10];0.1;1000;0.95;0.008;89.59
[784, 300, 50, 10];0.1;1000;0.95;0.08;74.87
[784, 500, 50, 10];0.1;1000;0.95;0.08;20.83
[784, 50, 300, 10];0.1;1000;0.95;0.1;82.65
[784, 300, 300, 10];0.1;1000;0.95;0.1;84.09
[784, 300, 300, 10];0.1;1000;0.95;0.2;25.05
[784, 300, 300, 10];0.1;1000;0.95;0.15;28.15
[784, 600, 300, 10];0.1;1000;0.95;0.15;18.33
[784, 600, 300, 10];0.1;1000;0.95;0.1;81.61
[784, 600, 300, 10];0.1;1000;0.95;0.08;81.2
[784, 600, 300, 10];0.1;1000;0.95;0.09;10.0
[784, 600, 300, 10];0.1;1000;0.95;0.09;82.6666666667
[784, 784, 10];0.1;1000;0.95;0.1;86.7277777778
